var	Method	td
file	TestListener	wrapped
method	AssertionFailedError	assertion failed error
file	String	testsuites
file	String	testsuite
file	String	testcase
file	String	failure
file	String	system err
file	String	system out
file	String	attr package
file	String	attr time
file	String	attr errors
file	String	attr failures
file	String	attr tests
file	String	attr skipped
file	String	attr type
file	String	attr message
file	String	attr classname
file	String	attr id
file	String	timestamp
file	String	hostname
file	String	unknown
file	Hashtable	test elements
file	Hashtable	failed tests
file	Hashtable	skipped tests
file	Hashtable	ignored tests
var	Element	props element
var	InetAddress	local host
var	String	test description
var	Element	current test
var	Element	nested
var	Text	trace
method	Throwable	failure
file	Vector	transformers
file	String	default dir
file	int	generated id
file	String	warning is possibly corrupted
file	String	warning invalid root element
file	String	warning empty file
var	AggregateTransformer	transformer
method	File	value
var	String[]	f
var	PrintWriter	wri
var	Document	testsuite doc
method	Element	testsuite
var	String	fullclassname
var	String	pkg name
var	Element	copy
method	Native2Ascii	args
var	BufferedReader	input
var	Writer	output
file	String[]	n2 a classnames
var	Class	n2a main
var	Class[]	param
var	Method	convert
file	Mapper	mapper
file	Native2AsciiAdapter	nested adapter
method	Native2AsciiAdapter	adapter
var	FileNameMapper	m
method	String	dest name
var	File	parent file
var	Native2AsciiAdapter	ad
var	int	last dot
file	int	send files
file	int	get files
file	int	del files
file	int	list files
file	int	mk dir
file	int	chmod
file	int	rm dir
file	int	site cmd
file	int	code 521
file	int	code 550
file	int	code 553
file	long	granularity minute
file	SimpleDateFormat	timestamp logging sdf
file	int	default ftp port
file	String	remotedir
file	String	userid
file	String	account
file	File	listing
file	boolean	passive
file	boolean	newer only
file	long	time diff millis
file	long	granularity millis
file	boolean	time diff auto
file	int	action
file	Set	dir cache
file	int	transferred
file	String	remote file sep
file	boolean	skip failed transfers
file	int	skipped
file	boolean	ignore noncritical errors
file	String	chmod
file	String	umask
file	FTPSystemType	system type key
file	String	default date format config
file	String	recent date format config
file	LanguageCode	server language code config
file	String	server time zone config
file	String	short month names config
file	Granularity	timestamp granularity
file	boolean	is configuration set
file	int	retries allowed
file	String	site command
file	String	initial site command
file	boolean	enable remote verification
file	String[]	action strs
file	String[]	completed action strs
file	String[]	action target strs
file	FTPFile	file
file	String[]	parts
file	FTPClient	ftp
file	String	root path
file	boolean	remote system case sensitive
file	boolean	remote sensitivity checked
var	Hashtable	newroots
var	String	newpattern
var	AntFTPFile	base ftp file
var	Enumeration	enum2
var	AntFTPFile	myfile
var	boolean	is ok
var	boolean	traverses symlinks
var	String	complete path
var	FTPFile[]	newfiles
var	boolean	slow scan allowed
method	AntFTPFile	file
file	Map	file list map
file	Map	scanned dirs
method	boolean	changedir
var	String	current path
var	FTPFile[]	result
method	FTPFile[]	array
var	boolean	candidate found
var	int	pcounter
method	String	origin
var	StringBuffer	result
file	FTPClient	client
file	String	curpwd
file	FTPFile	ftp file
file	AntFTPFile	parent
file	boolean	relative path calculated
var	Vector	path elements
var	String	current path element
var	int	fcount
var	String	lastpathelement
var	FTPFile[]	the files
method	String	parent path
method	String	sought path element
var	String	abs path
method	String	current relative path
var	Vector	path elements2
var	FTPFile	the file
var	int	pcount
var	String	current working dir
var	boolean	comeback
method	String	p account
method	boolean	newer
method	boolean	depends
method	String	the mode
method	String	the umask
var	Action	a
method	Action	action
method	FTPSystemType	system key
method	String	default date format
method	String	recent date format
method	LanguageCode	server language code
method	String	server time zone id
method	String	short month names
method	String	retries allowed
var	int	retries
method	String	initial command
method	RetryHandler	h
method	Retryable	r
method	String	descr
var	BufferedWriter	fbw
var	String	fdir
var	String	dsfile
var	Vector	parents
var	String	dirname
var	File	check dir
var	long	return value
var	long	local time stamp
var	BufferedInputStream	instream
var	FTPFile[]	ftp files
var	long	remote time stamp
var	Delete	mydelete
var	int	max iterations
var	File	local file
var	int	counter2
method	String	remote file
var	FTPFile[]	files
var	long	local timestamp
var	long	adjusted remote timestamp
method	String	the cmd
var	boolean	rc
var	String[]	my reply
var	InputStream	instream
var	OutputStream	outstream
var	File	pdir
var	FTPFile[]	remote
var	FTPFile[]	ftpfiles
var	String	working directory
var	String	subdir
var	FTPClient	lftp
var	String	action l
file	String[]	valid granularities
var	String	granularity u
var	Granularity	g
file	String[]	valid system types
var	FTPSystemType	ftpst
file	String[]	valid language codes
var	Collection	c
var	String[]	ret
var	LanguageCode	lc
method	FTPTaskConfig	task
var	FTPClientConfig	config
var	String	system type key
var	String	server language code config
file	FTPTaskMirror	delegate
method	String	server language code
method	FTPTask	task
file	int	pause time
file	Vector	rexec tasks
file	boolean	add carriage return
file	Integer	default timeout
file	String	task string
method	AntRExecClient	rexec
file	boolean	echo string
method	Integer	i
var	int	window start
var	Calendar	end time
var	RExecSubTask	task
method	int	p
var	Enumeration	tasks to run
file	int	http port
file	int	socks port
file	String	proxy host
file	int	proxy port
file	String	socks proxy host
file	int	socks proxy port
file	String	non proxy hosts
file	String	proxy user
file	String	proxy password
var	boolean	settings changed
var	boolean	enabling proxy
var	String	port string
file	PasswordAuthentication	auth
file	int	wait interval
file	int	telnet port
file	Vector	telnet tasks
var	AntTelnetClient	telnet
var	TelnetSubTask	task
file	boolean	comments
file	boolean	compact
file	boolean	compile
file	boolean	console
file	boolean	crossref
file	boolean	decimal
file	boolean	diag
file	boolean	format
file	boolean	logo
file	boolean	savelog
file	boolean	sourcedir
file	boolean	strictargs
file	boolean	strictassign
file	boolean	strictcase
file	boolean	strictimport
file	boolean	strictprops
file	boolean	strictsignal
file	boolean	symbols
file	boolean	time
file	boolean	utf8
file	boolean	suppress method argument not used
file	boolean	suppress private property not used
file	boolean	suppress variable not used
file	boolean	suppress exception not signalled
file	boolean	suppress deprecation
file	boolean	remove keep extension
file	String	msg method argument not used
file	String	msg private property not used
file	String	msg variable not used
file	String	msg exception not signalled
file	String	msg deprecation
method	File	dest dir name
method	boolean	java
method	File	src dir name
method	TraceAttr	trace
var	TraceAttr	t
method	VerboseAttr	verbose
var	VerboseAttr	v
var	String	nrx name
var	StringBuffer	compile options
var	String[]	compile options array
var	String[]	file list array
var	String[]	compile args
var	String	current class path
var	Properties	current properties
var	StringWriter	out
var	String	sdir
var	String	ddir
var	boolean	do replace
var	int	dlen
var	String	l
var	StringBuffer	classpath
var	Vector	options
var	String[]	results
method	StringBuffer	target
file	File	propertyfile
file	boolean	use jdk properties
var	Entry	e
method	String	hdr
method	File	param
file	int	default int value
file	String	default date value
file	String	default string value
file	int	operation
file	String	new value
file	int	field
method	Operation	value
method	Type	value
method	PropertyFile.Unit	unit
var	String	old value
var	Calendar	current value
var	DateFormat	fmt
var	String	current string value
var	int	current value
var	int	new v
var	DecimalFormat	fmt
var	String	curval
var	int	operation value
var	String	new v
var	String	ret
file	int	increment oper
file	int	decrement oper
file	int	equals oper
file	int	delete oper
method	String	oper
file	int	integer type
file	int	date type
file	int	string type
file	String	millisecond
file	String	second
file	String	minute
file	String	hour
file	String	day
file	String	week
file	String	month
file	String	year
file	String[]	units
file	Map	calendar fields
file	int	pos 1
file	int	pos 2
file	int	pos 3
file	String	pvcsbin
file	String	repository
file	String	pvcs project
file	Vector	pvcs projects
file	String	workspace
file	String	force
file	String	promotiongroup
file	boolean	ignorerc
file	boolean	update only
file	String	filename format
file	String	line start
file	String	config
file	String	pcli exe
file	String	get exe
method	ExecuteStreamHandler	out
method	String	exe
var	StringBuffer	corrected exe
var	String	uid
var	File	tmp2
var	Random	rand
var	MessageFormat	mf
var	Object[]	objs
method	File	in
var	BufferedReader	in reader
var	BufferedWriter	out writer
var	String	s normal
method	String	repo
method	String	prj
method	String	ws
method	String	bin
method	String	w
method	PvcsProject	p
method	boolean	l
file	String	from extension
file	String	to extension
file	Mapper.MapperType	glob type
var	Move	move
var	Mapper	me
file	boolean	byline
file	RegularExpression	regex
file	Substitution	subs
method	String	match
method	String	byline
var	Boolean	res
method	RegularExpression	r
method	Substitution	s
var	File	temp
var	Writer	w
var	StringBuffer	linebuf
var	boolean	has cr
var	long	orig last modified
file	String	path1
file	String	path2
file	String	path3
file	String	spec file
file	File	top dir
file	String	rpm build command
file	boolean	clean build dir
file	boolean	remove spec
file	boolean	remove source
var	ExecuteStreamHandler	streamhandler
var	OutputStream	outputstream
var	OutputStream	errorstream
var	int	returncode
method	File	td
method	String	sf
method	boolean	cbd
method	boolean	rs
var	String[]	p elements
file	HashMap	schema locations
file	boolean	full checking
file	boolean	disable dtd
file	SchemaLocation	anonymous schema
file	String	error sax 1
file	String	error no xsd support
file	String	error too many default schemas
file	String	error parser creation failure
file	String	message adding schema
file	String	error duplicate schema
var	String	anon schema
method	SchemaLocation	location
var	SchemaLocation	old
method	String	default schema url
method	File	default schema file
var	SAXParserFactory	factory
var	SchemaLocation	schema location
var	String	tuple
method	int	file processed
file	String	namespace
file	String	error no uri
file	String	error two locations
file	String	error no file
file	String	error no url representation
file	String	error no location
var	boolean	has file
var	boolean	has url
var	String	schema
file	ScriptRunnerHelper	helper
file	List	nested elements
file	Set	attribute set
file	Map	nested element map
method	NestedElement	nested element
var	Map	script repository
var	NestedElement	definition
var	Object	instance
method	ScriptDefBase	instance
var	ScriptRunnerBase	runner
method	String	manager
method	ResourceCollection	resource
var	ScriptDef	definition
var	List	nested element list
method	boolean	set beans
file	int	error exit status
file	String	sos cmd dir
file	String	sos username
file	String	sos password
file	String	project path
file	String	vss server path
file	String	sos server path
file	String	sos home
file	String	local path
file	boolean	no compress
file	boolean	no cache
file	boolean	recursive
method	boolean	nocache
method	boolean	nocompress
method	String	username
method	String	projectpath
file	String	command sos exe
file	String	command get file
file	String	command get project
file	String	command checkout file
file	String	command checkout project
file	String	command checkin file
file	String	command checkin project
file	String	command history
file	String	command label
file	String	project prefix
file	String	flag command
file	String	flag vss server
file	String	flag username
file	String	flag password
file	String	flag working dir
file	String	flag recursion
file	String	flag label
file	String	flag no compression
file	String	flag no cache
file	String	flag sos server
file	String	flag sos home
file	String	flag file
file	File	file success
file	int	loops success
file	Long	duration success
file	File	file fail
file	int	loops fail
file	Long	duration fail
method	int	loops
method	Long	duration
var	Clip	audio clip
var	AudioInputStream	audio input stream
var	AudioFormat	format
var	DataLine.Info	info
method	Clip	clip
var	long	time left
method	LineEvent	event
var	Line	line
file	BuildAlert	success
file	BuildAlert	fail
var	AntSoundPlayer	sound player
var	File	nofile
var	String[]	entries
var	int	numfiles
var	Random	rn
file	int	font size
file	JLabel	text
file	JProgressBar	pb
file	int	min
file	Pattern	progress reg exp pattern
method	ImageIcon	img
method	String	progress reg exp
method	String	display text
var	JPanel	pan
var	JLabel	piccy
var	JPanel	pan2
var	Dimension	size
var	Dimension	scr
var	int	y
method	String	txt
method	ActionEvent	a
var	Matcher	matcher
var	String	gr
file	int	default show duration
file	String	imgurl
file	String	proxy
file	String	port
file	int	show duration
file	boolean	use proxy
file	SplashScreen	splash
method	int	duration
var	SetProxy	sp
var	String	encodedcreds
var	DataInputStream	din
var	ByteArrayOutputStream	bout
var	int	data
method	Throwable	e
file	Session	session
file	boolean	compressed
file	LogListener	listener
var	ChannelExec	channel
var	ChannelSftp	channel
method	LogListener	a listener
method	long	time started
method	long	time ended
method	long	total length
var	double	duration
var	NumberFormat	format
method	long	filesize
method	int	percent transmitted
var	int	percent
file	ProgressMonitor	monitor
file	long	init file size
method	int	op
method	String	dest
method	long	max
file	Set	child directories
file	Directory	parent
method	Directory	directory
var	Directory	current
var	Directory	d
method	String	the path
var	String[]	path
file	String[]	from attrs
file	String[]	to attrs
file	String	from uri
file	String	to uri
file	List	rcs
file	boolean	is from remote
file	boolean	is to remote
file	boolean	is sftp
file	Integer	file mode
file	Integer	dir mode
method	String	a from uri
method	String	a to uri
method	boolean	yes or no
method	String	file mode
method	String	dir mode
method	String	from ssh uri
method	String	to path
var	ScpFromMessage	message
method	String	to ssh uri
var	List	ds
var	ScpToMessage	message
method	String	from path
var	int	index of at
var	int	index of colon
var	int	index of current at
var	int	index of last colon
var	int	index of path
var	String	remote path
var	boolean	is remote
var	Directory	root
var	File	current parent
method	String[]	attrs
method	String	alt
file	int	hundred kilobytes
file	byte	line feed
file	boolean	is recursive
var	Channel	channel
var	File	start file
var	ByteArrayOutputStream	stream
var	String	server response
var	String	directory name
var	File	transfer file
var	boolean	track progress
var	long	init filesize
var	long	end time
var	SftpATTRS	file attributes
var	JSchException	sch exception
var	SftpATTRS	attrs
var	String	pwd
var	java.util.Vector	files
var	ChannelSftp.LsEntry	le
var	SftpProgressMonitor	monitor
file	int	default dir mode
file	int	default file mode
file	List	directory list
var	String	cmd
var	Iterator	file it
var	Directory	dir
var	Iterator	dir it
method	int	file mode
method	int	dir mode
file	int	ssh port
file	String	known hosts
file	SSHUserInfo	user info
file	int	server alive count max
file	int	server alive interval seconds
method	boolean	failure
method	int	count max
method	int	interval
method	String	keyfile
method	String	passphrase
var	JSch	jsch
var	SSHBase	base
file	int	retry interval
file	long	maxwait
file	String	output property
file	File	error file
file	String	input property
file	boolean	appenderr
file	boolean	use pty
file	boolean	use system in
file	Resource	command resource
file	boolean	suppress system out
file	boolean	suppress system err
method	long	timeout
var	int	number of inputs
var	ByteArrayOutputStream	errout
var	OutputStream	tee err
var	OutputStream	tee
var	InputStream	istream
var	String	input data
var	int	ec
var	StringReader	in
file	Vector	local tunnels
file	Set	local ports used
file	Vector	remote tunnels
file	Set	remote ports used
method	String	tunnels
var	String[]	specs
var	String[]	spec
var	int	lport
var	String	rhost
var	int	rport
var	LocalTunnel	tunnel
var	String	lhost
var	RemoteTunnel	tunnel
var	Integer	port key
file	boolean	trust all certificates
method	boolean	trust
method	String	password prompt
method	String	destination
method	String	instruction
method	String[]	prompt
method	boolean[]	echo
var	String[]	response
file	NestedCondition	condition
file	Parallel	timed tests
file	Sequential	setup
file	Sequential	application
file	BlockFor	block
file	Sequential	tests
file	Sequential	reporting
file	Sequential	teardown
file	long	timeout unit multiplier
file	long	shutdown time
file	long	shutdown unit multiplier
file	String	failure message
file	boolean	fail on teardown errors
file	BuildException	test exception
file	BuildException	teardown exception
file	BuildException	application exception
file	BuildException	task exception
file	String	warn overriding
file	String	application forcibly shut down
file	String	shutdown interrupted
file	String	skipping tests
file	String	application exception
file	String	teardown exception
method	Object	definition
method	Sequential	sequence
method	BlockFor	sequence
method	WaitFor.Unit	unit
method	long	parallel timeout
var	Parallel	par
method	Task	child
method	String	role
var	long	timeout millis
var	Parallel	application run
var	WorkerAnt	worker
var	long	test run timeout
var	Sequential	test run
var	TaskAdapter	ta
var	Parallel	teardown run
var	Parallel	setup run
var	long	shutdown time millis
file	TransformerFactory	tfactory
file	Resource	stylesheet
file	XSLTLogger	logger
file	EntityResolver	entity resolver
file	Templates	templates
file	long	templates mod time
file	URIResolver	uri resolver
file	Vector	output properties
file	Hashtable	params
file	Map	features
file	boolean	suppress warnings
file	XSLTProcess.TraceConfiguration	trace configuration
method	File	stylesheet
method	File	infile
var	OutputStream	fos
var	StreamResult	res
var	Source	src
var	SAXParserFactory	sp factory
var	InputStream	xsl stream
var	String[]	pair
var	Class	trace support
var	XSLTTraceSupport	ts
var	Object[]	pair
var	Map.Entry	feature
method	EntityResolver	a resolver
method	URIResolver	a resolver
method	XSLTLogger	l
method	TransformerException	e
var	SourceLocator	locator
var	String	systemid
var	int	line
var	XSLTProcess.Factory.Attribute	attr
var	Enumeration	attrs
var	XSLTProcess.Factory.Feature	feature
var	XMLCatalog	xml catalog
var	XSLTProcess.OutputProperty	prop
var	Enumeration	props
var	Field	 is not secure processing
file	boolean	have group
file	boolean	have owner
method	String	owner
file	Vector	file sets
file	String	link file name
file	boolean	executing
var	Properties	links
var	String	lnk
var	File	test
var	Iterator	kitr
var	Hashtable	by dir
var	File	this link
var	Iterator	litr
var	Vector	links in dir
var	Properties	links to store
var	File	lnk
var	Iterator	dlnk
var	Iterator	dirs
method	boolean	owrite
method	boolean	foe
method	File	linkfil
var	String[][]	fnd
var	File	pf
var	Properties	final list
var	String[]	incs
var	File	inc
var	Properties	lnks
file	String	ss dir
file	String	vss login
file	String	vss path
file	String	server path
file	String	auto response
file	String	from label
file	String	to label
file	String	output file name
file	String	from date
file	String	to date
file	String	style
file	boolean	writable
file	boolean	get local copy
file	int	num days
file	DateFormat	date format
file	CurrentModUpdated	timestamp
file	WritableFiles	writable files
var	String	short label
var	String	version date label
var	String	lcl path
var	String[]	new env
method	String	start date
method	int	days to add
var	Calendar	calendar
var	Date	current date
var	StringBuffer	s buff
var	int	index user
var	int	index pass
var	int	index after pass
method	String	response
method	Path	local path
method	WritableFiles	files
method	boolean	get
file	String	ss exe
file	String	command cp
file	String	command add
file	String	command get
file	String	command create
file	String	style brief
file	String	style codediff
file	String	style nofile
file	String	style default
file	String	time current
file	String	time modified
file	String	time updated
file	String	writable replace
file	String	writable skip
file	String	writable fail
file	String	flag login
file	String	flag override working dir
file	String	flag autoresponse def
file	String	flag autoresponse yes
file	String	flag autoresponse no
file	String	flag version date
file	String	flag version label
file	String	flag writable
file	String	value no
file	String	value yes
file	String	flag quiet
file	String	value fromdate
file	String	value fromlabel
file	String	flag output
file	String	flag user
file	String	flag no file
file	String	flag brief
file	String	flag codediff
file	String	flag filetime def
file	String	flag filetime modified
file	String	flag filetime updated
file	String	flag replace writable
file	String	flag skip writable
file	String	flag no get
method	int	numd
method	String	date format
method	BriefCodediffNofile	attr
file	String	attr readonly
file	String	attr archive
file	String	attr system
file	String	attr hidden
file	String	set
file	String	unset
file	boolean	have attr
method	boolean	sign
method	String	attribute
method	Transformer	t
method	XSLTProcess.TraceConfiguration	conf
var	PrintTraceListener	tl
file	String	init failed msg
file	boolean	warn
file	boolean	lenient
file	String	reader class name
file	XMLReader	xml reader
file	ValidatorErrorHandler	error handler
file	Vector	attribute list
file	Vector	property list
file	String	message files validated
file	AntClassLoader	reader loader
method	boolean	bool
method	XMLCatalog	catalog
var	Attribute	feature
var	Property	prop
var	String	error msg
var	int	att size
var	int	prop size
var	Object	reader
var	Class	reader class
var	XMLReader	new reader
method	File	afile
var	InputSource	is
file	String	last error message
file	boolean	failed
method	SAXParseException	exception
method	SAXParseException	e
var	String	sys id
file	boolean	attribute value
var	XZInputStream	z in
var	XZOutputStream	z out
var	Resource	s
method	OutputStream	z out
var	InputStream	r in
file	int	number tries
file	Object	semaphore
file	int	num threads per processor
file	boolean	still running
file	boolean	fail on any
file	TaskList	daemon tasks
file	StringBuffer	exception message
file	int	num exceptions
file	Throwable	first exception
file	Location	first location
file	Integer	first exit status
method	int	poll interval
method	TaskRunnable[]	runnables
var	ExitStatusException	ex
var	int	num tasks
var	boolean	interrupted
var	int	thread number
var	int	max running
var	TaskRunnable[]	running
var	TaskRunnable[]	daemons
var	Thread	daemon thread
var	Thread	timeout thread
var	long	end
var	boolean	one alive
var	int	tries
file	File	original file
file	boolean	have patchfile
method	boolean	backups
method	int	num
file	String	patch
file	boolean	on windows
file	Resources	path
file	Reference	refid
file	String	target os
file	boolean	target windows
file	boolean	setonempty
file	Vector	prefix map
file	String	dir sep
file	boolean	preserve duplicates
method	String	elem
var	String	cmp elem
var	String	cmp from
var	Path	result
var	MapEntry	entry
var	TargetOs	to
method	TargetOs	target
var	Resources	saved path
var	String	saved path sep
var	String	saved dir sep
var	String	from dir sep
var	StringBuffer	rslt
var	ResourceCollection	resources
var	List	ret
var	FileNameMapper	mapper impl
var	String[]	mapped
var	int	m
var	StringTokenizer	st directory
var	Iterator	mapped iter
var	String	new elem
var	Mapper	m
var	String	dsep
var	String	psep
file	UnknownElement	nested task
var	PreSetDefinition	new def
file	AntTypeDefinition	parent
file	UnknownElement	element
var	PreSetDefinition	p
file	int	thread die timeout
file	HashSet	processes
file	Method	add shutdown hook method
file	Method	remove shutdown hook method
file	ProcessDestroyerImpl	destroy process thread
file	boolean	added
file	boolean	running
file	boolean	should destroy
var	Class[]	param types
var	Boolean	removed
var	boolean	process removed
file	List	project helpers
method	ProjectHelper	project helper
var	ProjectHelperRepository	repo
file	String	env
file	Project	fallback
file	Object	untyped value
file	boolean	value attribute used
file	boolean	user property
method	boolean	is xml
var	boolean	cleanup
var	HashMap	m
var	Object	k
file	List	delegates
method	PropertyHelper.Delegate	delegate
var	DelegateElement	result
file	Thread	output thread
file	Thread	error thread
file	Thread	input thread
file	OutputStream	err
file	boolean	non blocking read
file	long	join timeout
var	StreamPumper	s
method	boolean	close when exhausted
method	boolean	non blocking io
var	StreamPumper	pumper
var	Thread	result
file	Boolean	append
file	Boolean	start
file	int	loglevel
file	Hashtable	recorder entries
method	String	fname
method	ActionChoices	action
method	VerbosityLevelChoices	level
var	RecorderEntry	recorder
var	RecorderEntry	entry
var	Iterator	it entries
var	RecorderEntry	re
file	boolean	record
file	long	target start time
method	Boolean	state
var	String	time
method	String	mesg
var	long	seconds
var	long	minutes
file	int	streampumper wait interval
file	String	default encoding
file	boolean	closed
file	File[]	input
file	File[]	out
file	File[]	error
file	PropertyOutputStream	baos
file	PropertyOutputStream	error baos
file	boolean	append out
file	boolean	append err
file	boolean	always log out
file	boolean	always log err
file	boolean	create empty files out
file	boolean	create empty files err
file	ProjectComponent	managing task
file	PrintStream	out print stream
file	PrintStream	error print stream
file	Vector	output filter chains
file	Vector	error filter chains
file	Vector	input filter chains
file	String	error encoding
file	boolean	append properties
file	ThreadGroup	thread group
file	boolean	log input string
file	Object	in mutex
file	Object	out mutex
file	Object	err mutex
file	boolean	output is binary
method	boolean	always log
method	boolean	create empty files
var	StringBuffer	val
var	OutputStream	output log
var	LeadPipeInputStream	snk
var	InputStream	out pump in
var	OutputStream	error log
var	InputStream	err pump in
var	String	log head
var	OutputStream	keep alive output
var	long	funnel timeout
var	OutputStreamFunneler	funneler
var	OutputStream	keep alive error
var	Thread[]	thread
method	File[]	file
var	OutputStream	result
var	char[]	c
var	String	indent
file	NestedString	token
file	NestedString	value
file	Resource	property resource
file	Resource	replace filter resource
file	ArrayList	replacefilters
file	int	file count
file	int	replace count
file	boolean	fail on no replacements
file	boolean	expand properties
method	String	val
file	String	replace value
file	StringBuffer	input buffer
file	StringBuffer	output buffer
var	int	token length
var	int	replace value length
file	int	buff size
var	int	buffer length
file	Writer	writer
var	ArrayList	saved filters
var	Properties	saved properties
var	StringBuffer	tok
var	Replacefilter	first filter
var	String	tok
var	Replacefilter	replace filter
var	String[]	srcs
var	Replacefilter	element
method	File	property file
var	int	rep count start
var	FileInput	in
var	FileOutput	out
var	Replacefilter	filter
method	File	replace filter file
method	Resource	replace filter
method	StringBuffer	str
method	String	str1
method	String	str2
var	int	str1 length
var	int	str2 length
var	List	keys
method	Object	key1
method	Object	key2
file	String	one nested message
file	String	count required
file	Integer	count
file	int	retry count
file	int	retry delay
var	StringBuffer	error messages
file	Rmic	attributes
file	String	rmi stub suffix
file	String	rmi skel suffix
file	String	rmi tie suffix
file	String	stub compat
file	String	stub 1 1
file	String	stub 1 2
file	String	stub option 1 1
file	String	stub option 1 2
file	String	stub option compat
method	String[]	options
var	String	stub option
var	String[]	compiler args
var	String	stub version
var	int	c list size
var	String[]	target
var	int	last slash
var	Class	interf
var	String	i name
var	String	i dir
var	int	i index
var	Rmic	owner
file	String[]	rmic classnames
file	String	error unknown compiler
file	String	error not rmic adapter
method	String	rmic type
file	String	rmic classname
file	String	rmic executable
file	String	error no rmic on classpath
file	String	error no rmic on classpath java 9
file	String	error rmic failed
var	LogOutputStream	logstr
var	Object	rmic
var	Method	do rmic
file	String	wlrmic classname
file	String	error no wlrmic on classpath
file	String	error wlrmic failed
file	String	wl rmi stub suffix
file	String	wl rmi skel suffix
file	String	unsupported stub option
file	File	source base
file	Path	ext dirs
file	String	iiop opts
file	boolean	idl
file	String	idl opts
file	String	error unable to verify class
file	String	error not found
file	String	error not defined
file	String	error loading caused exception
file	String	error no base exists
file	String	error not a dir
file	String	error base not set
file	RmicAdapter	nested adapter
method	String	ex
method	RmicAdapter	adapter
method	File	source base file
var	String	class file name
var	String[]	generated files
var	String	generated file
var	File	old file
var	String[]	new files
var	Class[]	interfaces
file	Set	permissions
file	NonPosixMode	non posix mode
method	String	perms
method	String	octal string
method	NonPosixMode	m
var	Resource	current resource
method	Exception	exc
method	String	msg format
method	Object	msg args
method	boolean	fail if dos is not supported
var	boolean	read only
var	DosFileAttributeView	view
file	String	sigfile
file	File	signedjar
file	boolean	internalsf
file	boolean	sectionsonly
file	boolean	lazy
file	String	tsaurl
file	String	tsaproxyhost
file	String	tsaproxyport
file	String	tsacert
file	String	sig alg
file	String	digest alg
file	String	error todir and signedjar
file	String	error too many mappers
file	String	error signedjar and paths
file	String	error bad map
file	String	error mapper without dest
file	String	error no alias
file	String	error no storepass
method	FileNameMapper	new mapper
var	boolean	has jar
var	boolean	has signed jar
var	boolean	has dest dir
var	boolean	has mapper
var	Path	sources
var	FileNameMapper	dest mapper
var	String[]	dest filenames
method	File	jar source
method	File	jar target
method	File	signedjar file
method	String	scheme
file	int	seconds
file	int	hours
file	int	minutes
file	int	milliseconds
var	long	sleep time
file	String	normal
file	String	row
file	int	good sql
file	int	total sql
file	Statement	statement
file	String	sql command
file	Vector	transactions
file	String	delimiter
file	String	delimiter type
file	boolean	print
file	boolean	showheaders
file	boolean	showtrailers
file	String	on error
file	boolean	keepformat
file	boolean	escape processing
file	boolean	raw blobs
file	boolean	strict delimiter matching
file	boolean	show warnings
file	String	csv column sep
file	String	csv quote char
file	boolean	treat warnings as errors
file	String	warning property
file	String	row count property
method	String	sql
var	Transaction	t
method	DelimiterType	delimiter type
method	OnError	action
var	Vector	saved transaction
var	String	saved sql command
var	Appendable	a
var	StringBuffer	sql
var	int	last delim pos
var	ResultSet	result set
var	boolean	ret
var	int	update count
var	int	update count total
var	SQLWarning	warning
var	ResultSet	rs
var	ResultSetMetaData	md
var	int	column count
var	Blob	blob
var	char	q
file	Resource	t src resource
file	String	t sql command
method	String	current line
var	int	buffer index
var	SQLWarning	initial warning
method	int	row count
file	int	small buffer size
file	boolean	finish
file	boolean	autoflush
file	Exception	exception
file	boolean	started
file	boolean	use available
file	long	poll interval
file	Path	buildpath
file	String	sub target
file	String	antfile
file	File	genericantfile
var	String	subdir path
var	String	antfilename
var	TargetElement	target element
method	boolean	on
var	Ant	ant task
var	Enumeration	i
method	Property	to
method	Property	from
file	MyCopy	my copy
file	SyncTarget	sync target
method	Task	helper
var	Set	all files
var	boolean	no removal necessary
var	Set	preserved directories
var	int[]	removed file count
var	int	removed dir count
method	String	singular suffix
method	String	plural suffix
method	Set	non orphans
var	int[]	removed count
var	FileSelector[]	s
var	NoneSelector	ns
var	Boolean	ped
var	String[]	preserved dirs
method	boolean	remove if empty
method	Set	preserved empty directories
var	int	removed count
var	File[]	children
method	SyncTarget	s
method	Resource[]	resources
file	Boolean	preserve empty dirs
method	boolean	with patterns
file	String	fail
file	String	truncate
file	String	gnu
file	String	omit
file	File	tar file
file	TarLongFileMode	long file mode
file	Vector	resource collections
file	boolean	long warning given
file	TarCompressionMethod	compression
var	TarFileSet	fs
method	TarLongFileMode	mode
method	TarCompressionMethod	mode
var	Vector	saved file sets
var	TarFileSet	main file set
var	TarFileSet	tfs
var	ResourceCollection	rcol
var	TarOutputStream	t out
method	TarFileSet	tar file set
var	boolean	preserve leading slashes
var	String	fullpath
var	TarEntry	te
var	ArchiveResource	ar
var	TarResource	tr
var	MergingMapper	mm
var	Set	basedirs
var	Map	basedir to files map
var	FileResource	r
var	File	tmp base
method	Collection	files
var	String[]	files per se
method	ArchiveFileSet	archive file set
var	org.apache.tools.ant.types.TarFileSet	t
file	String	posix
file	String[]	valid modes
file	String	none
file	String	gzip
file	String	bzip2
file	String	xz
method	OutputStream	ostream
var	Class	f clazz
var	Class	o clazz
var	Class	s clazz
var	char	cc
file	boolean	create file
var	File	tfile
file	DateFormatFactory	default df factory
file	ThreadLocal	primary
file	ThreadLocal	fallback
